Word;freqlemfilms2;freqlemlivres;freqfilms2;freqlivres
abrégerai;4.21;4.86;0.01;0
abrégerait;4.21;4.86;0;0.07
abrégez;4.21;4.86;0.73;0.07
abrégeât;4.21;4.86;0;0.07
abrégé;4.21;4.86;0.19;0.41
abrégé;0.2;0.41;0.06;0.14
abrégé;0.12;0.54;0.11;0.47
abrégée;4.21;4.86;0.05;0.2
abrégée;0.2;0.41;0.13;0.2
abrégés;0.2;0.41;0.01;0.07
abrégés;0.12;0.54;0.01;0.07
abréviatif;0;0.07;0;0.07
abréviation;0.46;0.95;0.37;0.41
abréviations;0.46;0.95;0.09;0.54
abscisse;0.02;0;0.02;0
abscission;0;0.07;0;0.07
abscons;0.12;0.68;0.12;0.54
absconse;0.12;0.68;0;0.07
absconses;0.12;0.68;0;0.07
absence;22.86;76.28;22.02;72.5
absences;22.86;76.28;0.84;3.78
absent;14.91;29.8;9.46;18.18
absent;1.96;5.81;0.82;2.16
absenta;6.14;6.01;0;0.34
absentai;6.14;6.01;0;0.07
absentaient;6.14;6.01;0;0.14
absentais;6.14;6.01;0.04;0.14
absentait;6.14;6.01;0.16;1.15
absentant;6.14;6.01;0;0.07
absente;14.91;29.8;3.49;6.22
absente;1.96;5.81;0.47;1.49
absente;6.14;6.01;1.46;1.69
absenter;6.14;6.01;2.9;1.49
absentera;6.14;6.01;0.03;0.14
absenterai;6.14;6.01;0.03;0.07
absenterait;6.14;6.01;0;0.07
absentes;14.91;29.8;0.06;0.61
absentes;1.96;5.81;0.01;0.2
absentes;6.14;6.01;0.07;0
absents;14.91;29.8;1.91;4.8
absents;1.96;5.81;0.66;1.96
absentèrent;6.14;6.01;0;0.07
absenté;6.14;6.01;0.89;0.34
absentée;6.14;6.01;0.42;0.2
absentéisme;0.14;0.2;0.14;0.2
absentéiste;0.01;0;0.01;0
absentéiste;0.01;0;0.01;0
absentés;6.14;6.01;0.15;0.07
abside;0;1.62;0;1.55
absides;0;1.62;0;0.07
absidiales;0;0.14;0;0.14
absidiole;0;0.07;0;0.07
absinthant;0;0.07;0;0.07
absinthe;1.28;2.91;1.28;2.91
absolu;17.25;34.39;8.55;16.42
absolu;0.78;7.23;0.74;7.03
absolue;17.25;34.39;8.44;16.15
absolues;17.25;34.39;0.2;1.01
absolument;89.79;63.45;89.79;63.45
absolus;17.25;34.39;0.06;0.81
absolus;0.78;7.23;0.04;0.2
absolution;1.06;2.5;1.06;2.5
absolutisme;0.12;0.68;0.12;0.68
absolvaient;2.66;3.72;0;0.07
absolvait;2.66;3.72;0;0.27
absolvant;0;0.14;0;0.14
absolve;2.66;3.72;0.16;0
absolvent;2.66;3.72;0;0.2
absolves;2.66;3.72;0.01;0
absorba;6.66;28.65;0.11;2.03
absorbables;0;0.07;0;0.07
absorbai;6.66;28.65;0;0.07
absorbaient;6.66;28.65;0.04;0.68
absorbais;6.66;28.65;0;0.27
absorbait;6.66;28.65;0.2;3.11
absorbant;0.14;1.35;0.08;0.81
absorbant;0.01;0.14;0.01;0.14
absorbant;6.66;28.65;0.06;0.95
absorbante;0.14;1.35;0.04;0.27
absorbantes;0.14;1.35;0.01;0.2
absorbants;0.14;1.35;0.01;0.07
absorbe;6.66;28.65;1.61;3.38
absorbent;6.66;28.65;0.33;0.61
absorber;6.66;28.65;1.86;4.53
absorbera;6.66;28.65;0.23;0.07
absorberai;6.66;28.65;0.02;0
absorberaient;6.66;28.65;0.11;0.07
absorberait;6.66;28.65;0.04;0.14
absorbeur;0.03;0;0.03;0
absorbez;6.66;28.65;0.06;0
absorbions;6.66;28.65;0;0.07
absorbons;6.66;28.65;0;0.07
absorbèrent;6.66;28.65;0.01;0.41
absorbé;6.66;28.65;1.35;7.84
absorbé;0.28;3.72;0.18;2.3
absorbée;6.66;28.65;0.4;2.3
absorbée;0.28;3.72;0.06;0.61
absorbées;6.66;28.65;0.07;0.41
absorbées;0.28;3.72;0.03;0.34
absorbés;6.66;28.65;0.16;1.69
absorbés;0.28;3.72;0.02;0.47
